 Call Option
Frequency, Daily
Time Intervals, 252
 Stock Price, 100
Strike, 100
Volatility, 0.2
 Call Option
 Risk Free Rate, 0.05
Time to Expiry,1
 
Binary Call Option Value, Black Scholes Value,number of paths
0.5269811011733956, 0.5323248154537634, increment 1.42
0.5199420034320903, 0.5323248154537634, increment 1.43
0.5269811011733956, 0.5323248154537634, increment 1.44
0.5330689694902001, 0.5323248154537634, increment 1.45
0.5294542976770974, 0.5323248154537634, increment 1.46
0.5250786423243942, 0.5323248154537634, increment 1.47
0.5307860188713984, 0.5323248154537634, increment 1.48
0.5222249540508921, 0.5323248154537634, increment 1.49
0.5484788861671117, 0.5323248154537634, increment 1.5
0.5269811011733956, 0.5323248154537634, increment 1.51
0.536873887188203, 0.5323248154537634, increment 1.52
0.5241274128998935, 0.5323248154537634, increment 1.53
0.5353519201090018, 0.5323248154537634, increment 1.54
0.5366836413033029, 0.5323248154537634, increment 1.55
0.5366836413033029, 0.5323248154537634, increment 1.56
0.5264103635186952, 0.5323248154537634, increment 1.57
0.5332592153751002, 0.5323248154537634, increment 1.58
0.5393470836919048, 0.5323248154537634, increment 1.59
0.5385861001523043, 0.5323248154537634, increment 1.6
0.5404885590013058, 0.5323248154537634, increment 1.61
0.5264103635186952, 0.5323248154537634, increment 1.62
0.5267908552884953, 0.5323248154537634, increment 1.6300000000000001
0.5402983131164055, 0.5323248154537634, increment 1.6400000000000001
0.536873887188203, 0.5323248154537634, increment 1.6500000000000001
0.5357324118788022, 0.5323248154537634, increment 1.6600000000000001
0.5130931515756851, 0.5323248154537634, increment 1.67
0.5290738059072971, 0.5323248154537634, increment 1.68
0.5361129036486024, 0.5323248154537634, increment 1.69
0.5391568378070046, 0.5323248154537634, increment 1.7
0.5267908552884953, 0.5323248154537634, increment 1.71
0.5281225764827965, 0.5323248154537634, increment 1.72
0.5260298717488949, 0.5323248154537634, increment 1.73
0.5304055271015982, 0.5323248154537634, increment 1.74
0.5380153624976038, 0.5323248154537634, increment 1.75
0.5212737246263913, 0.5323248154537634, increment 1.76
0.5376348707278036, 0.5323248154537634, increment 1.77
0.5340201989147009, 0.5323248154537634, increment 1.78
0.5304055271015982, 0.5323248154537634, increment 1.79
0.5245079046696937, 0.5323248154537634, increment 1.8
0.5406788048862059, 0.5323248154537634, increment 1.81
0.5262201176337951, 0.5323248154537634, increment 1.82
0.5266006094035952, 0.5323248154537634, increment 1.83
0.5442934766993086, 0.5323248154537634, increment 1.84
0.5347811824543014, 0.5323248154537634, increment 1.85
0.5366836413033029, 0.5323248154537634, increment 1.86
0.5243176587847936, 0.5323248154537634, increment 1.87
0.5351616742241017, 0.5323248154537634, increment 1.8800000000000001
0.5304055271015982, 0.5323248154537634, increment 1.8900000000000001
0.5218444622810917, 0.5323248154537634, increment 1.9000000000000001
0.5328787236053, 0.5323248154537634, increment 1.9100000000000001
0.5296445435619975, 0.5323248154537634, increment 1.92
0.5216542163961916, 0.5323248154537634, increment 1.93
0.5205127410867907, 0.5323248154537634, increment 1.94
0.5402983131164055, 0.5323248154537634, increment 1.95
0.5366836413033029, 0.5323248154537634, increment 1.96
0.5328787236053, 0.5323248154537634, increment 1.97
0.5340201989147009, 0.5323248154537634, increment 1.98
0.5197517575471902, 0.5323248154537634, increment 1.99
0.5294542976770974, 0.5323248154537634, increment 2
0.5231761834753927, 0.5323248154537634, increment 2.0100000000000002
0.5309762647562986, 0.5323248154537634, increment 2.02
0.5222249540508921, 0.5323248154537634, increment 2.0300000000000002
0.5313567565260988, 0.5323248154537634, increment 2.04
0.5439129849295082, 0.5323248154537634, increment 2.05
